City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
196,Kavieng,-2.5744,150.7967,85.33,overcast clouds,67,97,12.1,PG
197,Duku,11.2361,4.9073,80.71,clear sky,54,4,3.62,NG
198,Pangnirtung,66.1451,-65.7125,31.24,overcast clouds,96,100,9.57,CA
199,Traverse City,44.7631,-85.6206,68.07,broken clouds,75,75,8.05,US
200,Najran,17.4924,44.1277,70.45,clear sky,19,5,1.99,SA
201,Faanui,-16.4833,-151.75,78.98,light rain,77,100,5.88,PF
202,Kisangani,0.5167,25.2,69.53,broken clouds,92,58,2.13,CD
203,Aykhal,66.0,111.5,10.94,overcast clouds,96,98,7.58,RU
204,Kushima,31.4583,131.2333,72.91,few clouds,93,21,4.25,JP
205,San Remo,43.8182,7.7612,63.32,few clouds,30,16,3.0,IT
206,Mustasaari,63.1142,21.6822,37.89,few clouds,100,17,4.61,FI
207,Santa Maria,-29.6842,-53.8069,79.9,light rain,61,75,5.75,BR
208,Bandarbeyla,9.4942,50.8122,77.79,overcast clouds,87,99,11.97,SO
209,Carnarvon,-24.8667,113.6333,57.27,clear sky,62,0,8.05,AU
210,Krasnoznamensk,55.5994,37.0386,49.69,light intensity shower rain,93,75,4.47,RU
211,Mushie,-3.0167,16.9,72.18,overcast clouds,92,100,3.78,CD
212,Cayenne,4.9333,-52.3333,84.24,clear sky,81,0,4.0,GF
213,Ishigaki,24.3448,124.1572,80.73,few clouds,89,20,14.97,JP
214,Turki,51.987,43.2731,51.62,overcast clouds,40,96,15.95,RU
215,Bosaso,11.2842,49.1816,82.24,scattered clouds,66,38,2.37,SO
216,Prince Rupert,54.3161,-130.3201,44.46,moderate rain,88,100,15.01,CA
217,Qaqortoq,60.7167,-46.0333,34.3,clear sky,69,8,1.88,GL
218,Auki,-8.7676,160.7034,84.83,scattered clouds,63,41,1.34,SB
219,Hami,42.8,93.45,44.67,clear sky,55,0,9.86,CN
220,Langxiang,46.95,128.8833,47.25,overcast clouds,85,100,5.95,CN
221,Manicore,-5.8092,-61.3003,82.99,broken clouds,69,77,2.75,BR
222,Marovoay,-16.1,46.6333,77.14,overcast clouds,75,99,3.0,MG
223,Tiznit,29.5833,-9.5,61.81,broken clouds,85,78,3.76,MA
224,Nampa,43.5407,-116.5635,50.65,clear sky,70,1,4.61,US
225,Karratha,-20.7377,116.8463,73.06,clear sky,34,0,2.82,AU
226,Garissa,-0.4536,39.6401,75.88,overcast clouds,69,100,16.37,KE
227,Puerto Ayacucho,5.6639,-67.6236,81.9,scattered clouds,80,39,2.82,VE
228,Ust-Nera,64.5667,143.2,16.16,overcast clouds,83,100,3.49,RU
229,Muros,42.7762,-9.0603,65.84,clear sky,58,0,5.97,ES
230,Lapua,62.9693,23.0088,31.71,few clouds,96,11,3.6,FI
231,Kloulklubed,7.0419,134.2556,79.3,broken clouds,77,83,9.66,PW
232,Campestre,-21.7111,-46.2464,64.85,broken clouds,76,62,2.37,BR
233,Hirara,24.8,125.2833,82.22,overcast clouds,77,100,21.52,JP
234,Nortelandia,-14.4547,-56.8028,89.51,broken clouds,44,63,4.83,BR
235,Coquimbo,-29.9533,-71.3436,64.13,clear sky,59,0,12.66,CL
236,Salinas,36.6777,-121.6555,70.41,broken clouds,59,75,11.5,US
237,Urumqi,43.801,87.6005,34.75,clear sky,70,0,0.0,CN
238,Ahipara,-35.1667,173.1667,57.47,scattered clouds,60,39,12.48,NZ
239,Sulzbach-Rosenberg,49.4983,11.7517,41.23,overcast clouds,87,100,5.97,DE
240,Bitung,1.4451,125.1824,76.05,overcast clouds,82,94,0.4,ID
241,Cove,7.221,2.3402,75.49,scattered clouds,93,33,4.36,BJ
242,Sydney Mines,46.2367,-60.2177,57.29,overcast clouds,86,93,1.01,CA
243,Cozumel,20.5083,-86.9458,88.0,broken clouds,74,75,1.99,MX
244,Ossora,59.2353,163.0719,34.68,broken clouds,61,84,6.64,RU
245,Koumac,-20.5667,164.2833,75.96,few clouds,69,13,14.58,NC
246,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,few clouds,57,20,6.71,RU
247,Sioux Lookout,50.1001,-91.917,51.49,overcast clouds,91,100,14.43,CA
248,Mamlyutka,54.9375,68.5394,41.94,clear sky,81,5,3.11,KZ
249,Iqaluit,63.7506,-68.5145,33.78,overcast clouds,78,92,8.9,CA
250,Praia Da Vitoria,38.7333,-27.0667,68.76,scattered clouds,94,40,13.22,PT
251,Ekhabi,53.5102,142.9671,35.92,light rain,97,100,18.39,RU
252,Norman Wells,65.282,-126.8329,31.37,scattered clouds,73,46,3.11,CA
253,Salta,-24.7859,-65.4117,81.19,scattered clouds,47,40,4.0,AR
254,Uch,45.3192,-0.9345,52.29,scattered clouds,56,31,9.08,FR
255,Jalpaiguri,26.5167,88.7333,74.25,scattered clouds,70,43,5.17,IN
256,Baglan,36.1307,68.7083,51.82,clear sky,33,0,1.07,AF
257,Codrington,-38.2667,141.9667,46.99,overcast clouds,93,91,8.12,AU
258,Anqiu,36.4342,119.1925,58.68,light rain,75,6,4.16,CN
259,Sao Joao Da Barra,-21.6403,-41.0511,73.49,clear sky,86,4,8.16,BR
260,Alpatovo,43.7028,45.2415,59.77,clear sky,88,0,7.02,RU
261,Beloha,-25.1667,45.05,65.88,clear sky,96,3,4.74,MG
262,Batagay,67.6333,134.6333,16.25,overcast clouds,95,98,3.02,RU
263,Aguas Formosas,-17.0822,-40.9358,73.51,overcast clouds,83,96,3.11,BR
264,Port Hueneme,34.1478,-119.1951,81.63,clear sky,36,1,12.66,US
265,Bulungu,-4.55,18.6,74.93,broken clouds,75,61,0.83,CD
266,Opuwo,-18.0607,13.84,71.73,clear sky,50,0,6.15,NA
267,Ambagarh Chauki,20.7833,80.7167,70.59,broken clouds,77,57,2.75,IN
268,Sinnamary,5.3833,-52.95,81.54,clear sky,79,6,13.22,GF
269,Alora,36.8236,-4.7058,67.5,clear sky,88,0,3.96,ES
270,Novokizhinginsk,51.6115,109.5917,29.84,snow,94,100,5.44,RU
271,Samur,41.8253,48.486,60.33,clear sky,83,0,8.75,RU
272,Fare,-16.7,-151.0167,79.12,moderate rain,80,100,11.12,PF
273,Kurchum,48.5722,83.6542,35.87,clear sky,58,10,5.91,KZ
274,Raga,8.4596,25.678,70.27,overcast clouds,97,100,2.8,SS
275,College,64.8569,-147.8028,33.75,broken clouds,69,75,5.75,US
276,Fortuna,40.5982,-124.1573,61.2,clear sky,58,1,4.0,US
277,Avera,33.194,-82.5271,84.07,scattered clouds,57,41,0.43,US
278,Flinders,-34.5833,150.8552,65.25,broken clouds,83,69,1.01,AU
279,Fomboni,-12.28,43.7425,78.42,scattered clouds,80,31,13.62,KM
280,Alofi,-19.0595,-169.9187,76.89,few clouds,65,20,3.44,NU
281,Cabo San Lucas,22.8909,-109.9124,89.19,few clouds,69,20,7.0,MX
282,Tayu,-6.5397,111.0518,75.9,broken clouds,78,82,9.31,ID
283,Seymchan,62.8833,152.4333,20.79,overcast clouds,69,100,9.1,RU
284,Dakar,14.6937,-17.4441,80.73,few clouds,78,20,9.22,SN
285,Ribeira Grande,38.5167,-28.7,72.0,broken clouds,83,75,11.5,PT
286,Maceio,-9.6658,-35.7353,80.04,few clouds,83,20,6.91,BR
287,Lorengau,-2.0226,147.2712,84.79,broken clouds,70,83,7.63,PG
288,Praya,14.9215,-23.5087,77.54,broken clouds,73,75,17.27,CV
289,Saint-Philippe,-21.3585,55.7679,72.95,scattered clouds,90,48,6.62,RE
290,Goderich,43.7501,-81.7165,69.21,scattered clouds,78,49,3.67,CA
291,Tarko-Sale,64.9225,77.785,33.28,overcast clouds,98,100,12.84,RU
292,Kattivakkam,13.2167,80.3167,78.89,overcast clouds,79,95,6.11,IN
293,Buchanan,5.8808,-10.0467,78.76,scattered clouds,88,49,7.87,LR
294,Mucuri,-18.0864,-39.5508,73.8,broken clouds,87,79,8.84,BR
295,Nemuro,43.3236,145.575,54.72,overcast clouds,68,95,6.08,JP
296,Kota Tinggi,1.7381,103.8999,82.44,broken clouds,92,77,2.89,MY
297,Bethel,41.3712,-73.414,67.73,overcast clouds,90,90,3.44,US
298,Lagoa,39.05,-27.9833,70.38,overcast clouds,83,100,19.71,PT
299,Nikolskoye,59.7035,30.7861,41.02,overcast clouds,75,97,4.72,RU
300,Gravdal,68.1214,13.5031,41.0,overcast clouds,67,100,7.11,NO
301,Chandbali,20.7833,86.7667,79.3,very heavy rain,82,98,6.02,IN
302,Port Hawkesbury,45.6169,-61.3485,57.58,overcast clouds,74,99,4.0,CA
303,Takoradi,4.8845,-1.7554,78.01,light rain,92,37,6.17,GH
304,Mitsamiouli,-11.3847,43.2844,77.74,broken clouds,77,75,8.43,KM
305,San Cristobal,7.7669,-72.225,82.58,scattered clouds,66,49,3.27,VE
306,Kununurra,-15.7667,128.7333,71.58,few clouds,88,19,0.0,AU
307,La Palma,33.8464,-118.0467,82.17,clear sky,30,1,5.99,US
308,Puerto Escondido,15.85,-97.0667,90.43,few clouds,66,20,6.91,MX
309,Mattru,7.6244,-11.8332,75.13,light rain,97,20,2.01,SL
310,Benghazi,32.1167,20.0667,72.99,clear sky,65,3,3.74,LY
311,Isangel,-19.55,169.2667,82.51,few clouds,74,20,6.91,VU
312,Krasnoselkup,65.7,82.4667,28.35,light snow,95,100,20.04,RU
313,Ewa Beach,21.3156,-158.0072,83.08,broken clouds,60,75,15.01,US
314,Calama,-22.4667,-68.9333,70.39,clear sky,10,0,13.35,CL
315,Masunga,-20.6246,27.4488,65.12,clear sky,14,0,8.03,BW
316,Tura,25.5198,90.2201,72.95,scattered clouds,89,33,3.36,IN
317,Hamilton,39.1834,-84.5333,76.95,overcast clouds,71,90,1.01,US
318,Itoman,26.1247,127.6694,81.37,broken clouds,80,75,5.75,JP
319,Saskylakh,71.9167,114.0833,1.17,overcast clouds,99,97,4.16,RU
320,Kijang,35.2442,129.2139,62.33,broken clouds,79,51,5.61,KR
321,Sumbe,-11.2061,13.8437,74.52,few clouds,86,14,8.48,AO
322,Ede,52.0333,5.6583,55.2,overcast clouds,85,90,6.91,NL
323,Sterling,39.0062,-77.4286,76.86,scattered clouds,81,40,5.99,US
324,Porto Novo,6.4965,2.6036,82.22,light rain,83,16,4.92,BJ
325,Kodiak,57.79,-152.4072,49.51,scattered clouds,53,40,10.36,US
326,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.29,scattered clouds,79,27,8.03,BR
327,Pierre,44.3683,-100.351,52.72,overcast clouds,82,90,5.01,US
328,Saint Anthony,45.0205,-93.218,65.14,haze,85,90,7.0,US
329,Cockburn Town,21.4612,-71.1419,82.36,broken clouds,69,75,4.61,TC
330,Manjacaze,-24.7117,33.8828,68.56,clear sky,55,0,9.93,MZ
331,Omsukchan,62.5333,155.8,16.29,overcast clouds,92,98,4.56,RU
332,Glendive,47.1053,-104.7125,36.95,moderate rain,97,90,19.57,US
333,Ponta Delgada,37.7333,-25.6667,70.52,broken clouds,88,75,10.36,PT
334,Mkokotoni,-5.8767,39.2547,77.16,overcast clouds,83,100,4.72,TZ
335,Lalmohan,22.3384,90.7419,81.61,overcast clouds,81,100,2.42,BD
336,Henties Bay,-22.116,14.2845,59.86,few clouds,93,24,1.39,NA
337,Coihaique,-45.5752,-72.0662,47.01,overcast clouds,71,90,0.0,CL
338,Jaicos,-7.3592,-41.1378,90.43,broken clouds,20,58,4.76,BR
339,Tiksi,71.6872,128.8694,19.54,overcast clouds,90,100,10.56,RU
340,Ludvika,60.1496,15.1878,41.04,overcast clouds,83,99,5.44,SE
341,Marawi,7.9986,124.2928,66.65,overcast clouds,93,97,1.25,PH
342,Portland,45.5234,-122.6762,56.41,light rain,85,90,1.99,US
343,Yar-Sale,66.8333,70.8333,33.96,overcast clouds,92,100,9.1,RU
344,Tete,-16.1564,33.5867,82.49,scattered clouds,30,40,5.01,MZ
345,Adrar,20.5022,-10.0711,88.34,scattered clouds,11,44,4.18,MR
